Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Hdop,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675710148.1935651,1,68551,68551,GPS1_Frame,42.338973,-71.08815716666666,1.26,55.4,327981.03544677666,4689524.841570146,19,T
1675710149.1950102,2,68552,68552,GPS1_Frame,42.33896933333334,-71.08815,1.26,54.9,327981.6158510723,4689524.419915957,19,T
1675710150.1977754,3,68553,68553,GPS1_Frame,42.338966666666664,-71.088144,1.26,54.8,327982.10287021426,4689524.111664465,19,T
1675710151.1969507,4,68554,68554,GPS1_Frame,42.33896283333333,-71.08814000000001,1.26,54.4,327982.4219444011,4689523.67790966,19,T
1675710152.1978571,5,68555,68555,GPS1_Frame,42.338957666666666,-71.08813816666667,1.26,54.3,327982.55888884014,4689523.10048163,19,T
1675710153.1969163,6,68556,68556,GPS1_Frame,42.33895483333334,-71.088135,1.26,54.0,327982.81203846075,4689522.779455136,19,T
1675710154.1973872,7,68557,68557,GPS1_Frame,42.338952166666665,-71.08813216666667,1.26,53.8,327983.03818197234,4689522.4776100665,19,T
1675710155.1959906,8,68558,68558,GPS1_Frame,42.33895016666667,-71.08813033333332,1.26,53.6,327983.18376158614,4689522.25181633,19,T
1675710156.196741,9,68559,68559,GPS1_Frame,42.338949333333325,-71.0881295,1.26,53.4,327983.2501407203,4689522.157595114,19,T
1675710157.20091,10,68560,68560,GPS1_Frame,42.33894766666667,-71.08812866666668,1.26,53.4,327983.3142474672,4689521.970838568,19,T
1675710158.1984103,11,68561,68561,GPS1_Frame,42.338946333333325,-71.08812633333334,1.26,53.3,327983.50283593085,4689521.818061578,19,T
1675710159.1951613,12,68562,68562,GPS1_Frame,42.33894683333333,-71.08811833333333,1.26,52.9,327984.16325406556,4689521.857398418,19,T
1675710160.199483,13,68563,68563,GPS1_Frame,42.33894516666666,-71.08811399999999,1.26,52.5,327984.515697279,4689521.663561242,19,T
1675710161.1981244,14,68564,68564,GPS1_Frame,42.338944833333336,-71.08811,1.26,52.3,327984.84431568906,4689521.618454967,19,T
1675710162.2069626,15,68565,68565,GPS1_Frame,42.33894416666667,-71.0881085,1.07,52.3,327984.9660705535,4689521.541392149,19,T
1675710163.2025375,16,68566,68566,GPS1_Frame,42.338945333333335,-71.08810516666668,1.07,51.8,327985.24385800015,4689521.664198184,19,T
1675710164.2009094,17,68567,68567,GPS1_Frame,42.338946666666665,-71.088103,1.07,51.6,327985.42598776706,4689521.8078714935,19,T
1675710165.2026324,18,68568,68568,GPS1_Frame,42.33894733333333,-71.08810016666666,1.07,51.5,327985.66122086544,4689521.876167856,19,T
1675710166.1974323,19,68569,68569,GPS1_Frame,42.338948333333335,-71.08809733333332,1.07,51.4,327985.8973628975,4689521.981478363,19,T
1675710167.202411,20,68570,68570,GPS1_Frame,42.33895066666667,-71.08809533333333,1.07,51.3,327986.06848916307,4689522.236531262,19,T
1675710168.202797,21,68571,68571,GPS1_Frame,42.338952500000005,-71.08809466666666,1.07,51.5,327986.1284095629,4689522.438760322,19,T
1675710169.2006934,22,68572,68572,GPS1_Frame,42.33895566666667,-71.08809166666667,1.07,51.1,327986.3841899863,4689522.784325546,19,T
1675710170.2009,23,68573,68573,GPS1_Frame,42.33895866666667,-71.08808533333332,1.37,50.4,327986.9141219915,4689523.104640339,19,T
1675710171.200605,24,68574,68574,GPS1_Frame,42.338959333333335,-71.08808166666667,1.07,50.3,327987.2180065443,4689523.171250913,19,T
1675710172.1987858,25,68575,68575,GPS1_Frame,42.3389605,-71.088078,1.07,50.1,327987.52325449244,4689523.2933827,19,T
1675710173.2029622,26,68576,68576,GPS1_Frame,42.338964000000004,-71.08807283333334,1.07,49.5,327987.9584376827,4689523.671578943,19,T
1675710174.2045443,27,68577,68577,GPS1_Frame,42.338966,-71.088072,1.07,49.4,327988.0325427882,4689523.8919779165,19,T
