Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,Fixed_quality,UTC,Zone,Letter
1677109757.1285691,0,85757,85757,GPS1_Frame,42.33942217166667,-71.08704838666667,1.06,47.356,328073.60294400435,4689572.476116156,5,23 Hours 49 Minutes 17.00 Seconds,19,T
1677109758.1601806,0,85758,85758,GPS1_Frame,42.339424155,-71.08703370333333,1.24,49.181,328074.8179802877,4689572.6666605575,5,23 Hours 49 Minutes 18.00 Seconds,19,T
1677109759.138468,0,85759,85759,GPS1_Frame,42.33942872166667,-71.08702731499999,1.0,52.539,328075.35670515057,4689573.160837055,5,23 Hours 49 Minutes 19.00 Seconds,19,T
1677109760.1551476,0,85760,85760,GPS1_Frame,42.339429464999995,-71.08702770166666,1.0,52.248,328075.32687700907,4689573.244160409,5,23 Hours 49 Minutes 20.00 Seconds,19,T
1677109761.1512322,0,85761,85761,GPS1_Frame,42.339423835,-71.08701894166667,1.02,52.189,328076.03319208196,4689572.60127911,5,23 Hours 49 Minutes 21.00 Seconds,19,T
1677109762.1612387,0,85762,85762,GPS1_Frame,42.33942594166667,-71.08699827833334,1.11,49.987,328077.7412039981,4689572.793427831,5,23 Hours 49 Minutes 22.00 Seconds,19,T
1677109763.1614184,0,85763,85763,GPS1_Frame,42.33937357666667,-71.08701416666666,1.11,48.125,328076.2895864692,4689567.010818069,5,23 Hours 49 Minutes 23.00 Seconds,19,T
1677109764.1643076,0,85764,85764,GPS1_Frame,42.339388606666674,-71.08702628833333,1.11,43.63,328075.3319516543,4689568.7042951435,5,23 Hours 49 Minutes 24.00 Seconds,19,T
1677109765.1552842,0,85765,85765,GPS1_Frame,42.339420928333325,-71.08705303333333,1.11,45.394,328073.216757288,4689572.347449036,5,23 Hours 49 Minutes 25.00 Seconds,19,T
1677109766.1316545,0,85766,85766,GPS1_Frame,42.339432235000004,-71.08707026833333,1.18,43.84,328071.82773353206,4689573.637817997,5,23 Hours 49 Minutes 26.00 Seconds,19,T
1677109767.1534665,0,85767,85767,GPS1_Frame,42.33944657833334,-71.08705037833333,1.09,44.444,328073.5053881062,4689575.19031826,5,23 Hours 49 Minutes 27.00 Seconds,19,T
1677109768.1545851,0,85768,85768,GPS1_Frame,42.33943494166667,-71.08705629666666,1.09,42.25,328072.98611317115,4689573.910121758,5,23 Hours 49 Minutes 28.00 Seconds,19,T
1677109769.1576757,0,85769,85769,GPS1_Frame,42.339426733333326,-71.08706312833333,1.06,46.499,328072.4009404828,4689573.012462445,5,23 Hours 49 Minutes 29.00 Seconds,19,T
